NAME,OVR,POT
René Adler,78,78
Heiko Westermann,75,75
Johan Djourou,74,75
Slobodan Rajković,71,75
Matthias Ostrzolek,73,75
Lewis Holtby,76,80
Gojko Kačar,71,72
Zoltán Stieber,71,74
Ivo Iličević,73,75
Pierre-Michel Lasogga,77,81
Ivica Olić,78,78
Rafael van der Vaart,77,77
Marcelo Díaz,73,73
Dennis Diekmeier,73,77
Cleber,72,77
Jaroslav Drobný,77,77
Artjoms Rudnevs,74,76
Nicolai Müller,75,77
Petr Jiráček,73,73
Ashton Götz,63,75
Philipp Müller,58,74
Valon Behrami,77,77
Mohamed Gouaida,63,70
Alexander Brunst,57,69
Maximilian Beister,74,78
Ronny Marcos,63,75
Tolcay Ciğerci,57,73
Matti Steinmann,59,74
Gideon Jung,59,72
Julian Green,67,78
Sven Mende,54,64
