NAME,OVR,POT
Tomas Cerny,74,75
Trent McClenahan,65,72
Martin Canning,62,67
Mark McLaughlin,65,67
Rubiales,66,70
Simon Mensing,61,64
James McArthur,71,76
James Wesolowski,60,74
Flavio Paixao,62,68
David Louhoungou,64,68
Leon Knight,65,74
Marvin Andrews,68,72
Gary Mason,64,66
Sean Murdoch,62,72
Tony Stevenson,61,67
Grant Gilliespie,49,68
Alex Neil,64,67
Derek Lyle,61,68
Stuart Taylor,54,68
David Elebert,63,70
John Paul Kissock,62,75
Lucas Akins,55,60
James Gibson,63,72
Grant Evans,51,55
Gary Gow,58,63
Brian Potter,61,65
Stuart Mills,58,63
Jordan Kirkpatrick,45,65
Matt Sheridan,46,50
Marco Paixao,60,65
