NAME,OVR,POT
Florian Fromlowitz,75,78
Steve Cherundolo,72,76
Karim Haggui,73,77
Emanuel Pogatetz,75,77
Christian Schulz,73,77
Manuel Schmiedebach,69,76
Sergio Pinto,71,73
Moritz Stoppelkamp,68,74
Konstantin Rausch,69,76
Didier Ya Konan,75,78
Mohammed Abdellaoue,76,82
Markus Miller,72,77
Mario Eggimann,71,76
Constant Djakpa,70,76
DaMarcus Beasley,71,77
Lars Stindl,68,75
Mike Hanke,73,77
Mikael Forssell,73,81
Altin Lala,69,73
Leon Andreasen,72,78
Sofian Chahed,67,74
Valdet Rama,66,73
Jan Schlaudraff,73,82
Carlitos,69,75
Ron-Robert Zieler,64,80
Felix Burmeister,60,70
Willi Evseev,54,65
Henrik Ernst,54,68
Tim Hofmann,59,73
Christopher Avevor,60,72
