NAME,OVR,POT
Jon McLaughlin,70,71
Michael Smith,66,66
John Souttar,68,79
Christophe Berra,73,73
Demetri MitchellL,66,80
Don Cowie,68,68
Joaquim AdãoL,61,66
Harry Cochrane,61,82
David MilinkovićL,64,70
Steven NaismithL,71,71
Kyle Lafferty,71,71
Ross Callachan,62,69
Lewis Moore,57,75
Aaron Hughes,70,70
Connor RandallL,61,72
Jack Hamilton,64,72
Euan Henderson,54,78
Danny Amankwaa,65,70
Marcus Godinho,56,64
Anthony McDonald,58,80
Andy Irving,57,79
Arnaud Djoum,70,70
Jamie Brandon,58,74
Prince Buaben,63,63
Dario Zanatta,57,72
Malaury Martin,65,65
Rory Currie,56,73
Harry Paton,52,60
