NAME,OVR,POT
Rafael,65,68
Matteo Abbate,60,68
Luca Ceccarelli,61,63
Domenico Maietta,63,66
Massimiliano Scaglia,60,60
Giuseppe Russo,62,66
Panagiotis Tachtsidis,61,77
Emil Hallfreðsson,66,75
Marco D'Alessandro,67,78
Nicola Ferrari,63,63
Juan Ignacio Gómez Taleb,63,72
Nicolas,61,71
Manuel Mancini,62,64
Sasa Bjelanovic,65,65
Víctor MarecoL,64,73
Jorginho,60,76
Francesco Cangi,59,59
Thomas Pichlmann,60,60
Giuseppe Pugliese,62,65
Gennaro Esposito,65,73
Niccolò Galli,61,75
Emanuele Berrettoni,61,61
Pierluigi Frattali,58,59
Matthias LepillerL,66,75
Andrea Doninelli,61,75
Joseph Hu,56,80
Federico Da Vià,59,75
