NAME,OVR,POT
Wang Guoming,57,57
Mawlanyaz Dilmurat,55,62
Toni Urbano Dias de Lima,74,74
Wang Shangyuan,66,67
Luo Xin,60,60
Ke Zhao,63,63
Quanjiang,60,61
Ma Xingyu,59,59
Adrian Mierzejewski,74,74
Henrique Dourado,74,74
Fernando Karanga,71,71
Han Dong,51,64
Chen Q.J.,60,61
Oteh,64,65
Niu Ziyi,51,58
Hu Binhan,50,57
Mohamed Buya Turay,70,70
Martínez Borja,59,66
Shi Chenglong,55,63
Wang Haoran,50,60
Gu Cao,66,66
Du Zhixuan,48,60
Keena,68,68
Feng Boxuan,54,59
Huang Zichang,64,67
Shilong Moreno Martins,52,62
Liu Jiahui,51,59
