NAME,OVR,POT
Christian Fiedler,79,84
Arne Friedrich,84,89
Josip Simunic,79,84
Dick van Burik,76,85
Michael Hartmann,72,83
Pal Dárdai,76,84
Thorben Marx,76,81
Gilberto,80,93
Marcelinho,88,94
Fredi Bobic,83,88
Artur Wichniarek,79,84
Zecke,77,82
Yildiray Bastürk,85,92
Niko Kovac,73,82
Giuseppe Reina,78,83
Gerhard Tremmel,70,81
Marco Rehmer,79,84
Andreas Schmidt,67,80
Nando Rafael,72,85
Alexander Madlung,74,82
Alexander Mladenov,66,83
Malik Fathi,73,78
Sofian Chahed,69,80
Oliver Schröder,71,83
Dennis Cagara,74,82
