NAME,OVR,POT
Marko Marić,66,71
Zarek Valentin,69,69
Tim Parker,71,72
Maynor Figueroa,69,69
Adam Lundqvist,67,68
Matías Vera,68,73
Joe Corona,70,70
Derrick Jones,67,74
Fafà Picault,69,69
Maximiliano Urruti,68,68
Tyler Pasher,59,59
Darwin Cerén,70,70
Memo Rodriguez,66,69
José Bizama,68,69
Sam Junqua,55,60
Kyle Morton,55,59
Mateo Bajamich,63,75
Darwin Quintero,74,74
Alejandro Fuenmayor,65,72
Marcelo Palomino,62,76
Ariel Lassiter,62,62
Boniek García,65,65
Teenage Hadebe,69,73
Nico Lemoine,54,69
Michael Nelson,52,56
Daniel Rios,52,72
Ethan Bartlow,51,61
Ian Hoffman,49,60
Corey Baird,66,71
Juan Castilla,51,71
