NAME,OVR,POT
Jonas Lössl,75,76
Florent Hadergjonaj,73,79
Mathias Jørgensen,75,77
Christopher Schindler,76,78
Scott Malone,71,72
Jonathan Hogg,75,75
Aaron Mooy,78,79
Collin Quaner,69,70
Rajiv van La Parra,70,71
Alex Pritchard,73,78
Steve Mounié,76,83
Laurent Depoitre,75,75
Tom Ince,73,76
Elias Kachunga,72,73
Tommy Smith,72,74
Rob Green,72,72
Danny Williams,71,71
Terence KongoloL,76,81
Philip Billing,67,82
Michael Hefele,70,72
Chris Löwe,73,73
Abdelhamid Sabiri,62,75
Jon Gorenc Stanković,62,75
Joel Coleman,60,68
Rarmani Edmonds-Green,54,73
Sean Scannell,66,66
Regan Booty,53,68
Denilson Carvalho,54,69
Lewis O'Brien,55,69
Rekeil Pyke,57,70
Jordan Williams,56,78
Luca Colville,55,65
Ryan Schofield,56,79
