NAME,OVR,POT
David Stockdale,73,77
James Chester,70,77
Abdoulaye Faye,70,70
Alex Bruce,66,67
Corry Evans,67,73
David Meyler,68,74
Ahmed Elmohamady,72,77
Stephen Quinn,67,73
Robbie Brady,69,76
George Boyd,70,74
Matt Fryatt,71,73
Eldin Jakupović,66,66
Paul McShane,67,69
Joe Dudgeon,65,69
Nick Proschwitz,66,68
Sone Aluko,67,75
Jack Hobbs,68,71
Robert Koren,73,73
Tom Cairney,67,72
Johnny Margetts,52,60
Liam Rosenior,67,67
Gedo,68,68
Ahmed Fathi,65,65
Jay Simpson,67,71
James Armstrong,59,70
Mark Oxley,57,68
Joe Cracknell,51,66
Lewis Clarkson,54,61
