NAME,OVR,POT
Karim Fegrouche,56,56
Tim Björkström,62,63
Johan Eiswohld,63,64
Oscar Pehrsson,64,64
Jesper Arvidsson,66,66
Christer Gustafsson,65,65
Robert Åhman Persson,67,67
Sam Lundholm,64,69
Jonas Lindberg,63,63
Philip Haglund,63,63
Moses Ogbu,65,66
Shkodran Maholli,65,70
Stefano Vecchia,64,72
Ian Sirelius,63,63
Axel Björnström,54,62
Gustav Nyberg,52,60
Elias Andersson,63,71
Karl Larson,63,66
Abdul Razak,65,70
Lukas Jonsson,59,63
Charbel Georges,58,64
Jonas Olofsson,48,62
Mohammed Saeid,67,67
Daniel Jarl,63,66
Karvan Ahmadi,55,65
Henry Offia,53,64
Mauricio Albornoz,61,61
