NAME,OVR,POT
Terje Reinertsen,52,55
Glenn Andersen,60,60
Guðmundur Kristjánsson,61,63
Bismark Acosta,64,65
Rolf Daniel Vikstøl,61,65
Ernest Asante,64,65
Solomon James Owello,67,70
Seyi Olofinjana,66,66
Espen Børufsen,64,66
Espen Hoff,64,64
Zlatko Tripić,64,71
Pål Vestly HeigreL,51,63
Robert Sandnes,56,65
Alexander Lind,56,61
Matthías Vilhjálmsson,66,67
Amin Nouri,60,65
Fernando Paniagua,61,65
Isak Reinhardsen,50,55
Markus Berger,68,71
Jesper Mathisen,62,64
Håkon Opdal,61,61
Lars-Jørgen Salvesen,55,66
Helge Rosenvold,54,60
Jon Hodnemyr,54,64
Håkon Buckner,53,57
