NAME,OVR,POT
Kwon Jeong Hyuk,63,63
Kang Yong,57,57
Ahn Jae Joon,64,65
Lee Yun Pyo,64,64
Park Tae Min,63,64
Gu Bon Sang,63,67
Kim Nam Il,71,71
Lee Chun Soo,68,68
Lee Seok Hyun,64,72
Nam Jun Jae,66,72
Seol Ki Hyeon,70,70
Jo Soo Hyuk,58,64
Thiago,63,68
Diogo,63,68
Kim Jae Woong,61,65
Jeon Jun Heong,61,65
Moon Sang Yoon,60,68
Han Kyo Won,64,69
Son Dae Ho,61,61
Lee Hyo Kyun,60,62
Kim Chang Hoon,62,65
Kim Tae Yoon,60,63
Choi Jong Hwan,60,66
Kim Kyo Bin,58,67
Jin Sung Wook,53,63
Han Jae Woong,61,62
Park Ji Soo,52,60
Nathan Burns,64,69
