NAME,OVR,POT
Leandro Castellanos,70,70
Javier López,66,67
Humberto Osorio,67,67
William Tesillo,74,75
Carlos Arboleda,70,70
Baldomero Perlaza,71,74
Yeison Gordillo,69,75
Dairon Mosquera,70,75
Omar Pérez,72,72
Juan Falcón,68,69
Anderson Plata,68,72
Jonathan Gómez,73,74
Juan Daniel Roa,67,69
Kevin Salazar,65,77
Horacio Salaberry,65,65
Robinson Zapata,68,68
Jonathan Agudelo,67,75
Yulián Anchico,67,67
Leonardo Pico,69,75
Héctor Urrego,62,68
Freddy SalazarL,69,80
José David Moya,67,72
Yilmar Mosquera,55,68
Cristian Borja,66,72
Leyvin Balanta,63,65
Joao RodríguezL,60,73
Sebastián Salazar,64,76
Carlos Rivas,65,69
