NAME,OVR,POT
Jacek Banaszyński,58,63
Dariusz Łatka,61,60
Łukasz Nawotczyński,60,67
Radosław Kałużny,61,69
Marek Wasiluk,52,52
Jacek Markiewicz,57,61
Aleksander Kwiek,61,66
Mariusz Dzienis,55,56
Dariusz Jarecki,47,53
Ernest Konon,57,57
Remigiusz Sobociński,61,64
Jacek Chańko,52,66
Adrian Napierała,61,63
Marcin Mańka,52,53
Marcin Wincel,51,55
Mariusz Marczak,54,59
Marcin Tarnowski,58,64
Rafał Bałecki,51,52
Wojciech Kobeszko,59,64
Bartosz Romańczuk,58,58
Everton,56,66
Dawid Sołdecki,57,58
Marcin Truszkowski,61,63
