NAME,OVR,POT
Sergio GarcíaL,65,65
Luis Alfonso Rodríguez,70,73
Bruno Pires,68,71
Javier David Muñoz Mustafá,66,66
William Paredes,68,68
Andrés Andrade,64,68
Diego de la Torre,67,67
Wilson Tiago,69,69
Emiliano Armenteros,72,72
Silvio Romero,75,77
Matías Vuoso,68,68
Avilés Hurtado,69,72
Alberto Medina,64,64
Alan Zamora,63,63
Horacio CervantesL,63,63
César Lozano,63,63
Franco Arizala,68,68
Isaac Díaz,67,72
Gabriel Farfán,61,64
César Villaluz,62,64
Christian Bermúdez,66,68
Oscar Jiménez,65,69
Edgar Dueñas,66,66
Juan Carlos Rojas,63,63
Adrian Marín,62,66
Mauricio Romero,62,62
Diego Ordaz,62,62
Carlos Alberto Trejo,61,61
Alejandro Durán,56,65
Edwin Sandez,56,62
