NAME,OVR,POT
Gianluigi Buffon,97,99
Jonathan Zebina,78,85
Lilian Thuram,92,97
Fabio Cannavaro,87,97
Gianluca Zambrotta,91,99
Ruben Olivera,74,85
Alessio Tacchinardi,80,93
Ferreira Emerson,86,99
Pavel Nedved,91,99
David Trezeguet,92,99
Alessandro Del Piero,92,99
Antonio Chimenti,75,93
Paolo Montero,80,94
Manuele Blasi,78,83
Zlatan Ibrahimovic,83,96
Mauro Camoranesi,78,94
Ciro Ferrara,90,98
Gianluca Pessotto,74,83
Nicola Legrottaglie,82,88
Igor Tudor,85,99
Alessandro Birindelli,75,89
Olivier Kapo,80,92
Stephen Appiah,77,83
Marcelo Zalayeta,78,87
Landry Bonnefoi,75,80
