NAME,OVR,POT
Krzysztof Kamiński,66,69
Shohei Takahashi,62,67
Kentaro Oi,66,66
Ryo Shinzato,62,63
Nagisa Sakurauchi,62,62
Hiroki Yamada,70,70
Taishi Taguchi,67,68
Tomohiko Miyazaki,59,59
Shunsuke Nakamura,72,72
Takuya Matsuura,62,62
Kengo Kawamata,69,69
Adaílton,67,68
Rikiya Uehara,53,68
Shun Morishita,63,63
Daiki Ogawa,56,59
Ko Shimura,62,71
Koki Ogawa,58,73
Taisuke Nakamura,66,66
Naoki Hatta,52,52
Yoshiaki Fujita,58,58
Fozil Musaev,60,60
Yoshiaki Ota,60,60
Yoshito Okubo,69,69
Kosuke Yamamoto,62,62
Masaya Matsumoto,53,61
Ryuki Miura,53,56
Takuma Ominami,56,72
Kotaro Fujikawa,47,61
Daigo Araki,55,59
Eren Albayrak,71,72
