NAME,OVR,POT
Danny Vukovic,71,71
Clinton MataL,72,75
Joseph Aidoo,72,79
Omar Colley,74,78
Jere Uronen,69,75
Dieumerci Ndongala,71,72
Ibrahima Seck,73,73
Ruslan Malinovskyi,74,79
Leandro Trossard,74,79
Pozuelo,76,78
Mbwana Ally Samatta,73,76
Siebe Schrijvers,72,80
Thomas Buffel,71,71
Sebastien Dewaest,71,74
Joakim Mæhle,69,79
Nordin Jackers,64,75
Nikos Karelis,73,76
Marcus Ingvartsen,70,77
Jakub Brabec,70,73
Bojan Nastić,68,73
Benson Manuel,67,75
Amine Khammas,63,76
Edon Zhegrova,64,78
Dante Vanzeir,62,73
Pierre Desiré Zebli,63,74
Dries Wouters,65,74
Sander Berge,71,82
Bryan Heynen,69,76
