NAME,OVR,POT
Michaël Cordier,63,63
Mitch Apau,64,66
Birger Maertens,65,65
Kenneth Schuermans,65,69
Bruno Godeau,64,68
Kevin Geudens,64,64
Maxime Annys,65,65
Jarno Molenberghs,63,65
Nils Schouterden,65,67
Mohammed Aoulad,67,71
Frédéric Gounongbe,66,67
Jens Cools,63,66
Arno Verschueren,56,70
Enes Šipović,61,64
Jordan Mustoe,60,66
Thibaut Rausin,55,61
Kevin Koffi,64,64
Mbaye Diagne,62,67
Sherjill MacDonald,65,65
Christian Dorda,64,65
Alassane Diallo,61,71
Kevin Vandenbergh,61,61
Faris Handžić,59,71
Gilles Ruyssen,59,69
Nicolas Rommens,58,68
Koen Van Langendonck,64,66
Raphaël Lecomte,64,65
