NAME,OVR,POT
Ole Söderberg,62,64
Emin Nouri,62,62
Marko Biskupović,64,65
Viktor Elm,68,68
Stefan Larsson,59,59
Tobias Eriksson,64,64
Ismael,69,76
Rasmus Elm,77,77
Jonathan Ring,64,66
Romário,66,66
Henri Anier,61,64
Måns Söderqvist,63,68
Mahmoud Eid,58,62
Markus Thorbjörnsson,62,62
Sebastian Starke Hedlund,60,68
John Håkansson,53,64
Filip Sachpekidis,59,71
Herman Hallberg,55,63
Marcus Antonsson,67,69
Viktor Agardius,65,66
David Elm,64,64
Papa Diouf,61,62
Sebastian Ramhorn,60,67
Svante Ingelsson,56,67
Carl Johansson,56,68
Lucas Hägg-Johansson,55,63
Lumala Abdu,54,67
