NAME,OVR,POT
Kosuke Nakamura,69,78
Ryuta Koike,62,67
Shinnosuke Nakatani,70,77
Yuta Nakayama,67,77
Naoki Wako,68,69
Hidekazu Otani,66,66
Kim Bo Kyung,73,73
Junya Ito,73,77
Cristiano,74,74
Hiroto Nakagawa,63,70
Diego Oliveira,71,71
Ramon Lopes,67,67
Hajime Hosogai,67,67
Kosuke Taketomi,66,67
Jiro Kamata,61,61
Kazushige Kirihata,59,59
Dudu,57,66
Yun Suk Young,69,69
Haruhiko Takimoto,55,69
Taiyo Koga,55,68
Yuki Otsu,67,67
Kohei Tezuka,61,67
Koki Oshima,56,68
Yusuke Kobayashi,64,69
Ryoichi Kurisawa,60,60
Tomoki Imai,60,60
Takuya Hashiguchi,57,62
