NAME,OVR,POT
Andreas Isaksson,72,72
Erhan Kartal,59,68
Ryan Donk,73,73
İlhan Eker,62,62
Sancak Kaplan,66,66
Castro,71,75
Alpaslan Öztürk,66,73
Tunay Torun,69,72
Sanharib Malki,70,70
Óscar Scarione,73,73
Eren Derdiyok,73,75
Ferhat Kiraz,69,72
Kubilay Aktaş,56,70
İsmail Ayaz,54,60
Lasha Dvali,59,71
Ertaç Özbir,58,64
Adem Büyük,72,72
Ryan Babel,74,76
Orhan Şam,66,66
Barış Başdaş,67,71
Atila Turan,67,75
Veysel Sarı,67,69
Yusuf Mersin,56,64
İdris Cengiz,55,68
Halil Çolak,64,66
Mert Kula,53,65
Muhsin Yıldırım,52,64
