NAME,OVR,POT
Jung Sung Ryong,71,71
Miki Yamane,66,69
Jesiel,67,70
Shogo Taniguchi,71,71
Kyohei Noborizato,69,69
Ao Tanaka,68,76
Akihiro Ienaga,71,71
Yasuto Wakizaka,66,70
Ryota Oshima,71,74
Tatsuya Hasegawa,68,69
Leandro Damião,72,72
Hidemasa Morita,70,75
Kaoru Mitoma,58,65
Reo Hatate,58,67
Shintaro Kurumaya,70,70
Kenta Tanno,62,62
Yu Kobayashi,73,73
Kazuya Yamamura,70,70
Kengo Nakamura,70,70
Manabu Saito,69,69
Diogo Mateus,67,68
Hokuto Shimoda,64,64
Shunsuke Ando,60,61
Eisuke Fujishima,60,63
Zain Issaka,57,65
Kaito Kamiya,57,67
Taisei Miyashiro,58,72
Koki Harada,55,69
