NAME,OVR,POT
Matthias Hamrol,60,65
Bartosz Rymaniak,66,66
Iván Márquez,65,69
Adnan Kovačević,62,66
Michael Gardawski,63,63
Jakub Żubrowski,66,68
Ognjen Gnjatić,65,67
Matej Pučko,66,69
Marcin Cebula,64,69
Vato Arveladze,61,73
Elia Soriano,68,68
Ivan Jukić,64,70
Oliver Petrak,61,62
Ken Kallaste,64,64
Łukasz Kosakiewicz,61,61
Michał Miśkiewicz,62,62
Felicio Brown Forbes,62,62
Maciej Górski,61,61
Aleksandar Bjelica,68,71
Piotr Pierzchała,56,65
Piotr Malarczyk,63,64
Oskar Sewerzyński,51,65
Wiktor Długosz,53,63
Paweł Sokół,52,72
Oktawian Skrzecz,56,63
Kornel Kordas,53,63
Jakub Osobiński,51,61
