NAME,OVR,POT
Alexandr Belenov,72,72
Stanislav Manolev,70,70
Xandão,77,77
Felipe Santana,74,74
Georgiy Zotov,64,66
Mohammed Rabiu,71,73
Roman Kontsedalov,65,65
Arsen Khubulov,69,73
Gheorghe Bucur,67,67
Sergey Karetnik,60,69
Yevgen Seleznyov,75,75
Ibrahima Baldé,73,74
Maxim Mayrovich,60,71
Igor Armaş,73,73
Denis Yakuba,63,75
Dumitru Stajilă,53,57
Svyatoslav Georgievskiy,58,70
Roman Bugaev,64,65
Roman Pavlyuchenko,71,71
Alexandr Kleshchenko,57,69
Vladimir Lobkarev,62,70
Igor Konovalov,54,68
Evgeniy Frolov,61,61
Vladislav Kulik,71,71
Yuriy Zavezen,59,72
Igor Zhurakhovskyi,60,68
Nikita Khaikin,56,65
Ilmur Nurisov,56,69
Yuriy Zhuravlev,56,70
Vladislav Shevchenko,50,64
