NAME,OVR,POT
Jonathan Bond,68,70
Julian Araujo,70,80
Nick DePuy,64,66
Derrick Williams,69,69
Raheem Edwards,66,66
Rayan Raveloson,68,71
Mark Delgado,70,70
Kévin Cabral,66,75
Samuel Grandsir,69,72
Víctor Vázquez,69,69
Javier Hernández,79,79
Sacha Kljestan,68,68
Kelvin Leerdam,68,68
Chase Gasper,68,69
Séga Coulibaly,65,70
Jonathan Klinsmann,63,69
Dejan Joveljić,70,78
Efrain Alvarez,66,76
Eriq Abdulkarim,65,65
Daniel Aguirre,56,63
Gaston Brugman,73,73
Carlos Harvey,54,63
Marcus Ferkranus,54,74
Jalen Neal,49,69
Adam Saldaña,58,73
Cameron Dunbar,57,74
Jorge Villafaña,67,67
Richard Sánchez,61,62
Jonathan Perez,54,74
