NAME,OVR,POT
Thomas Mandl,66,71
Wolfgang Bubenik,57,63
Florian Metz,59,64
Pablo Chinchilla,62,67
Robert Schellander,56,63
Thomas Krammer,62,69
René Aufhauser,66,70
Justice Majabvi,64,68
Emin Sulimani,64,72
Alexander Zickler,66,68
Lukas Kragl,61,72
Pavao Pervan,53,57
Christian Mayrleb,65,68
Daniel Kogler,56,61
Klodian Duro,66,76
Ulrich Winkler,56,65
Daniel Sobkova,57,63
Leonhard Kaufmann,61,67
Florian Hart,54,64
Thomas Piermayr,57,67
Patrick Derdak,56,66
Gernot Trauner,53,56
Lorenz Höbarth,50,63
Thomas Höltschl,52,59
Emanuel Schreiner,51,61
Florian Maier,49,62
