NAME,OVR,POT
Sascha Kirschstein,67,74
Marcel Busch,53,69
Darlington Omodiagbe,62,68
Nils Döring,63,69
Daniel Felgenhauer,66,69
Mohammed Lartey,59,65
Baldo di Gregorio,63,66
Nils-Ole Book,65,74
Tom Moosmayer,59,65
Lars Toborg,67,68
Thomas Bröker,63,68
Christian Mikolajczak,60,69
Manuel Lenz,63,74
Dominick Kumbela,62,76
Dino Djulbic,59,67
Michael Wiemann,55,67
Ronald Maul,64,75
Sebastian Pelzer,62,64
Tim Gorschlüter,58,71
Daniel Thioune,62,67
Dirk Langerbein,59,70
Manuel Bölstler,58,66
Mario Vrancic,60,79
Ole Kittner,52,66
Marcel Reichwein,62,70
David Blacha,58,69
Janis Kraus,49,64
