NAME,OVR,POT
Diego Novoa,66,68
Walmer Pacheco,67,75
Matías Mier,69,69
John García,64,64
Amaury Torralvo,64,69
Moisés Galé,56,64
Stalin Motta,70,70
Hansel Zapata,65,74
Diego Valoyes,68,80
Brayner De Alba,66,71
Carlos Peralta,71,71
Daniel Padilla,59,63
Neider Barona,58,71
Jhon Cano,67,67
Jeider Riquett,64,66
Kevin Piedrahita,62,66
Arbey Mosquera,62,62
Matheo Castaño,56,74
Juan Mahecha,68,68
Mariano Vázquez,65,69
Miguel Herrera,59,59
Luis Carlos Cabezas,65,65
Esteban Ruiz,63,77
Francisco Nájera,69,69
David Camacho,54,66
Andrés Correa,69,75
Jhan Cuero,52,72
Oscar BernalL,62,72
