NAME,OVR,POT
Samir Ujkani,71,71
Matteo Bruscagin,62,63
Riccardo Brosco,65,67
Hernán Dellafiore,68,68
Marco Calderoni,67,67
Pasquale Schiattarella,68,68
Rubén Olivera,67,67
Filippo Bandinelli,53,62
Nicolao Dumitru,65,71
Daniele Paponi,67,67
Luigi Alberto Scaglia,68,68
Daniele Corvia,70,70
Richmond Boakye,68,74
Marco Marchionni,69,69
Andrea Esposito,64,64
Simone Farelli,59,59
McDonald Mariga,71,71
Ivano Baldanzeddu,65,65
Giuseppe Figliomeni,66,66
Boadu Maxwell Acosty,64,68
Raffaele Di Gennaro,69,77
Najib Ammari,62,66
Maodo Malick Mbaye,61,71
Daniel Leone,57,65
Leandro Campagna,55,62
Roberto Criscuolo,54,69
Romeo Shahinas,53,67
Pietro Spilabotte,53,63
