NAME,OVR,POT
Yohann Thuram,66,68
Barnabás Bese,67,75
Cédric Cambon,70,70
Denys Bain,68,77
Ferland Mendy,66,77
Jean-Pascal Fontaine,69,70
Thomas Ayasse,68,68
Zinedine Ferhat,67,71
Ghislain Gimbert,70,70
Alexandre Bonnet,69,69
Mathieu Duhamel,72,72
Ebenezer Assifuah,69,75
Ludovic Gamboa,66,66
Steven Fortès,69,72
Harold Moukoudi,57,71
Fabien Farnolle,69,69
Nathaël Julan,60,72
Alimami Gory,59,72
Samba Camara,59,65
Issam Chebake,66,67
Victor Lekhal,62,69
Grégoire Puel,63,67
Stefan Milosavljevic,62,72
Rafik Guitane,55,76
Sébastien Salles-LamongeL,59,73
Taher Mohamed,53,71
