NAME,OVR,POT
Yohann Pelé,79,84
Ibrahima Sory Camara,74,78
Geder,70,75
Grégory Cerdan,71,76
Ludovic Baal,61,78
Mathieu Coutadeur,74,84
Frédéric Thomas,72,84
Fredrik Strømstad,72,76
Anthony Le Tallec,72,76
Gervinho,75,77
Thorstein Helstad,76,76
Rodolphe Roche,64,68
Paulo André,67,76
Samuel Bouhours,61,73
Modibo Maïga,64,76
Matthieu Dossevi,66,76
Roland Lamah,67,72
Thibault Ferrand,61,73
Cyriaque Louvion,67,73
Alphousseyni Keita,65,77
Brahim El Bahri,64,73
Yannick Van den Eynde,48,68
Amiran Sanaia,53,60
Saber Ben Frej,69,74
Abdul Khaled Adénon,64,74
Marcos Paulo,63,77
Abdourahmane Dieye,65,77
Marcelo Estigarribia,66,73
