NAME,OVR,POT
Vincenzo Sicignano,77,74
Marco Cassetti,72,71
Souleymane Diamoutene,67,65
Lorenzo Stovini,69,60
Erminio Rullo,50,62
Guillermo Giacomazzi,73,72
Cristian Daniel Ledesma,60,73
Alfonso Camorani,68,67
Axel Cedric Konan,79,76
Mirko Vucinic,75,80
Alex Pinardi,63,61
Jaime Andres Valdes Zapata,72,70
Francesco Benussi,56,67
Eremenko,62,66
Babù,54,51
Mariano de Alme Angelo,70,65
Marco Testa,48,53
Giuseppe Abruzzese,57,55
Drissa Diarra,57,55
Marco Pecorari,55,58
Antonio Rosati,45,56
Andrea Esposito,58,56
Graziano Pellé,54,57
