NAME,OVR,POT
Kiko Casilla,79,79
Luke Ayling,72,72
Pontus Jansson,77,79
Liam Cooper,75,76
Stuart Dallas,69,69
Kalvin Phillips,74,80
Pablo Hernández,76,76
Mateusz Klich,73,73
Tyler Roberts,69,81
Jack HarrisonL,71,80
Kemar Roofe,74,76
Adam Forshaw,72,73
Jack Clarke,65,82
Gaetano Berardi,71,71
Jamie Shackleton,63,79
Bailey Peacock-Farrell,68,77
Patrick Bamford,72,75
Jordan Stevens,59,74
Ezgjan Alioski,72,72
Isaiah Brown,70,78
Barry Douglas,74,74
Aapo Halme,61,75
Robbie Gotts,59,74
Leif Davis,57,74
Ryan Edmondson,60,80
Pascal Struijk,62,74
Kun Temenuzhkov,61,76
Kamil Miazek,59,69
Hugo Díaz,58,70
Eunan O'Kane,68,68
