NAME,OVR,POT
Łukasz Fabiański,52,53
Tomasz Sokołowski,57,60
Wojciech Szala,65,66
Dickson Choto,72,71
Tomasz Kiełbowicz,61,64
Łukasz Surma,67,66
Aleksandar Vuković,61,62
Jacek Magiera,60,58
Sebastian Szałachowski,66,67
Bartosz Karwan,56,58
Marcin Klatt,66,64
Piotr Włodarczyk,66,58
Veselin Djoković,67,66
Jakub Rzeźniczak,61,60
Moussa Ouattara,49,56
Jan Mucha,55,52
Paweł Kaczorowski,62,60
Marcin Burkhardt,60,64
Marcin Chmiest,63,61
Marcin Smoliński,60,61
Dariusz Zjawiński,57,57
Daniel Lopes Cruz,52,50
Dawid Janczyk,51,51
