NAME,OVR,POT
Humberto Hernández,66,66
Marcelo Alatorre,62,62
Héctor Reynoso,64,64
Félix Araujo,64,64
Jairo González,60,64
Jonathan Gonzáles,70,79
Luis Telles,66,72
Marc Crosas,69,70
Rodolfo Vilchis,63,66
Juan Luis Anangonó,63,67
Fidel Martínez,68,71
Fernando Guerrero,66,69
Jorge Hernández,64,65
Christian DíazL,61,65
Leandro Cufré,69,69
Iván Vázquez,64,64
Jahir Barraza,64,68
Jesús Vázquez,59,67
Andrés Ríos,65,69
Giovanni León,63,68
Efrén Mendoza,62,68
Diego Campos,62,63
José Wenceslao Díaz,61,62
Josué Castillejos,59,59
Christian López,58,59
Fidel Vazquez,57,60
Florencio Moran,56,56
Jonathan Quintero,51,60
