NAME,OVR,POT
Otto Fredrikson,67,70
Anders Rambekk,64,72
Pål Steffen Andresen,66,68
Frode Kippe,69,75
Marius Johnsen,66,74
Bjørn Helge Riise,72,76
Espen Søgård,63,64
Khaled Mouelhi,67,74
Simen Brenne,69,75
Magnus Myklebust,67,73
Olivier Occèan,72,77
Arild Sundgot,66,68
Pål Strand,66,70
Dan Anton Johansen,65,64
Markus Kiesenebner,68,72
Lars Ivar Moldskred,59,64
Johan Petter Winsnes,60,61
Viktor Bjarki Arnarsson,62,75
Shane Stefanutto,64,67
Karim Essediri,66,71
Tore Andreas Gundersen,59,69
Erik Bertheussen,61,67
Martin Husàr,58,67
Lasse Bergan-Foss,52,64
Shkodran Rexhaj,51,59
