NAME,OVR,POT
Guilherme,77,79
Roman Shishkin,76,77
Vedran Ćorluka,79,80
Jan Ďurica,73,73
Vitaliy Denisov,74,76
Lassana Diarra,82,83
Taras Mykhalyk,72,72
Alexandr Samedov,79,79
Mbark Boussoufa,81,81
Sergey Tkachev,70,72
Dame N'Doye,80,80
Miroslav Lobantsev,66,78
Renat Yanbaev,73,73
Maicon,75,78
Alexandr Sheshukov,66,66
Alexey Miranchuk,68,78
Anton Miranchuk,56,71
Roman Pavlyuchenko,74,74
Dmitriy Tarasov,76,77
Ilya Abaev,73,73
Zapater,72,73
Yan Tigorev,68,68
Maxim Belyaev,65,75
Maxim Grigoriev,64,72
Arshak Koryan,59,72
Vitaliy Lystsov,57,73
Magomed Ozdoev,71,80
Aleksey Shirokov,61,66
Temur Mustafin,58,69
