NAME,OVR,POT
Adam Federici,70,70
Lachlan Rose,56,67
Aleksandar Jovanović,66,66
Antony Golec,61,61
Aleksandar Šušnjar,65,72
James Meredith,69,69
Denis Genreau,61,71
Charles M'Mombwa,58,67
Loïc Puyo,66,66
Matt Derbyshire,65,65
Tommy Oar,65,65
Milislav Popović,58,62
Liam Rose,63,72
Jake Hollman,52,64
Ivan Franjić,66,66
Nick Suman,54,67
Jake McGing,63,64
Walter Scott,56,65
Moudi NajjarL,52,65
Kyle Cimenti,55,63
Yianni Nicolaou,52,66
Michael Ruhs,52,67
Antonis MartisL,52,68
Luke Cukar,51,65
Ryan Wood,49,60
