NAME,OVR,POT
Mattias Asper,62,76
Daniel Majstorovic,69,79
Patrik Andersson,78,83
Olof Persson,75,80
Jon Inge Høiland,70,79
Afonso Alves,72,83
Joseph Elanga,57,75
Jon Jönsson,67,77
Thomas Olsson,58,68
Niklas Skoog,60,76
Andreas Yngvesson,54,65
Jörgen Ohlsson,63,75
Glenn Holgersson,63,75
Johan Nilsson-Guiomar,59,69
Joakim Nilsson,46,66
Joel Ringström,40,57
Hans Mattisson,48,60
D. Andersson,70,82
Louay Chanko,62,72
Samuel Barlay,65,88
Geraldo dos Santos Junior,48,73
Tommie Persson,52,70
Darko Lukanovic,41,69
Safari Behrang,52,66
Joakim Moberg,50,72
