NAME,OVR,POT
De Gea,87,87
Aaron Wan-Bissaka,79,82
Raphaël Varane,85,85
Lisandro Martínez,83,88
Luke Shaw,81,82
Casemiro,89,89
Bruno Fernandes,86,86
Christian Eriksen,83,83
Antony,82,88
Anthony Martial,80,81
Marcus Rashford,83,86
Alejandro Garnacho,68,86
Fred,80,80
Diogo Dalot,80,86
Tyrell Malacia,79,84
Tom Heaton,72,72
Wout WeghorstL,79,79
Harry Maguire,80,80
Scott McTominay,79,82
Anthony Elanga,73,82
Marcel SabitzerL,81,81
Jadon Sancho,83,87
Brandon Williams,73,78
Victor Lindelöf,79,80
Facundo Pellistri,70,81
Zidane Iqbal,62,79
Kobbie Mainoo,61,86
Jack ButlandL,72,72
Teden Mengi,67,77
Rhys Bennett,60,77
Donny van de Beek,78,83
Nathan Bishop,64,70
Phil Jones,71,71
