NAME,OVR,POT
Lawrence Thomas,59,63
Leigh Broxham,62,64
Nick Ansell,60,65
Matthieu Delpierre,71,71
Daniel Georgievski,61,65
Carl Valeri,63,63
Mark Milligan,68,68
Kosta Barbarouses,65,68
Fahid Ben Khalfallah,69,69
Guilherme Finkler,65,65
Besart Berisha,70,70
Connor Pain,60,64
Archie Thompson,62,62
Rashid Mahazi,60,63
Jason Geria,59,65
Michael Turnbull,59,59
Jesse Makarounas,57,66
Scott Galloway,58,64
Nathan Coe,60,60
Dylan Murnane,52,63
Andrew Nabbout,56,62
Jordan Brown,52,64
Kieran Dover,51,59
Christian Cavallo,50,59
George Howard,50,65
