NAME,OVR,POT
Carlo Pinsoglio,65,72
Simone Gozzi,62,62
Thiago Cionek,69,75
Davide Zoboli,68,68
Agostino Garofalo,65,65
Salvatore Molina,65,69
Tommaso Bianchi,68,75
Amidu Salifu,67,79
Luca Rizzo,65,75
Andrea Mazzarani,67,74
Khouma Babacar,72,82
Niccolò Manfredini,62,66
Pablo Granoche,69,69
Doudou Mangni,61,75
Lino Marzorati,66,73
Luca Calapai,58,68
Riccardo Nardini,65,65
Francesco Signori,68,75
Francesco Stanco,63,70
Alessandro Potenza,68,68
Daniele Dalla Bona,67,67
Gianni Manfrin,65,75
Salvatore Bruno,63,63
Salvatore Burrai,62,68
Marco Costantino,61,69
Filippo Minarini,56,70
Giordano Vaccari,54,72
Michele Trombetta,54,73
