NAME,OVR,POT
Moisés Muñoz,69,90
Mariano Trujillo,63,80
David Henríquez,61,80
Carlos Humberto González,55,70
Omar Trujillo,57,73
Héctor Castro,55,78
Fernando Arce,66,79
Irving Rubirosa,60,70
Julio César García Mezones,65,82
Gabriel Álvez,65,77
Damián Álvarez,65,80
Miguel de Jesús Fuentes,53,63
Edgar Solano,55,72
Rafael Márquez Lugo,64,89
José Antonio Noriega,60,70
Armando Vara,50,70
Junior Félix Madrigal,45,67
Alejandro Zurita,47,71
Charel Hernández,47,60
Francisco J. Martínez,46,70
José Luis Gallardo,43,69
Ever Guzmán,41,70
Rodrigo Prieto,46,72
Roberto Vargas,45,55
Alejandro Pliego,51,71
