NAME,OVR,POT
Jonathan Orozco,68,72
Diego Ordaz,69,69
Felipe Baloy,76,79
José María Basanta,70,75
Jesús Arellano,73,77
Luis Ernesto Pérez,75,82
José Joel González,68,71
Octavio Valdéz,71,75
Carlos Ochoa,70,75
Humberto Suazo,76,83
Jared Borgetti,73,78
Gonzalo Choy,71,76
Christian Martínez,66,73
Mauro Cejas,74,79
Híber Ruíz,65,72
Severo Meza,64,74
Pierre Ibarra,64,69
Hugo Eduardo Meléndez,59,65
Ernesto Serrato,60,70
Jesús Eduardo Zavala,61,68
William Paredes,55,70
Joel Arturo Morales,58,73
David Stringel,55,67
Arturo Alvarado,62,69
Rodolfo Basilio Del Real,57,68
José Oscar Recio,61,69
Fernando Ibarra,55,64
Alejandro Molina,55,67
Jesús Dautt,55,70
Abraham Darío Carreño,51,68
Héctor Oswaldo Gutiérrez,52,58
