NAME,OVR,POT
Geoffrey Jourdren,69,77
Mapou Yanga M'Biwa,66,72
Nenad Dzodic,68,72
Emir Spahić,73,75
Cyril Jeunechamp,72,76
Víctor Hugo Montaño,71,76
Romain Pitau,72,78
Alberto Costa,74,77
Joris Marveaux,69,76
Geoffrey Dernis,72,77
Souleymane Camara,66,70
Grégory Lacombe,63,71
Lilian Compan,68,72
Karim Aït Fana,68,79
Johann Carrasso,68,84
Younès Belhanda,60,78
Philippe Delaye,65,71
Xavier Collin,66,72
Laurent Pionnier,56,66
Julio Colombo,58,66
Mourad Benhamida,58,74
Jamel Saihi,63,73
Anthony Scribe,53,67
Abdelhamid El Kaoutari,56,67
Mickaël Nelson,53,73
Bengali Fodé Koita,51,57
Rémy Cabella,58,68
