NAME,OVR,POT
Barry Roche,63,63
Zak Mills,56,57
Sam Lavelle,56,63
Steven Old,61,61
Jordan Cranston,62,65
Piero MingoiaL,62,62
Aaron Wildig,65,66
Alex Kenyon,61,62
Kevin Ellison,58,58
Aaron Collins,59,67
Richie BennettL,57,57
Andrew Tutte,60,60
Rhys Oates,56,61
Ritchie Sutton,62,62
Luke Conlan,56,59
Mark Halstead,58,59
Liam MandevilleL,59,69
Adam Campbell,57,59
Carlos Mendes Gomes,51,61
Kyle Hawley,49,59
Tyler Brownsword,50,62
Sam DalbyL,53,73
Ben Hedley,50,59
Paul McKayL,56,66
Vadaine Oliver,59,60
Dawid Szczepaniak,48,58
AJ Leitch-Smith,62,62
James Sinclair,55,55
