NAME,OVR,POT
Mark Gillespie,66,69
Liam Grimshaw,63,68
Tom AldredL,65,66
Charles Dunne,66,68
Richard Tait,67,67
Alex Gorrín,66,70
Allan Campbell,67,77
David Turnbull,68,83
Jamie Semple,54,78
Curtis Main,65,66
Gboly AriyibiL,67,72
Danny Johnson,60,62
Carl McHugh,65,67
Elliott Frear,63,63
Peter Hartley,67,67
Rohan Ferguson,57,71
Jake Hastie,66,80
James Scott,58,75
Conor SammonL,64,64
Ross McCormackL,70,70
Christian Mbulu,58,69
Trevor Carson,69,69
Craig Tanner,65,68
Liam Donnelly,60,69
Adam Livingstone,51,63
Liam Brown,51,65
