NAME,OVR,POT
Benjamin van LeerL,72,74
Khalid KaramiL,67,67
Menno Koch,67,73
Erik Palmer-Brown,66,77
Greg Leigh,63,67
Gianluca Nijholt,66,66
Anouar Kali,68,68
Gervane Kastaneer,66,72
Giovanni Korte,65,66
Ramon Pascal Lundqvist,67,75
Mitchell te Vrede,68,68
Mounir El Allouchi,66,69
Arno Verschueren,65,69
Pelé van Anholt,69,69
Dorian DerviteL,67,67
Theo,63,63
Sullay Kaikai,67,73
Mikhail Rosheuvel,66,66
Robert MührenL,68,68
Luka IlićL,67,79
Paolo Fernandes,66,76
Alex Gersbach,65,75
Lucas SchoofsL,63,71
Marwin Reuvers,62,71
Daan Klomp,61,70
Sydney van Hooijdonk,61,75
Grad Damen,60,66
Karol Niemczycki,58,73
Jethro Mashart,57,69
Fabian Sporkslede,64,67
