NAME,OVR,POT
Dennis Gentenaar,73,83
Rob Wielaert,64,85
Patrick Pothuizen,64,76
Arjan Ebbinge,69,80
Jeffrey Leiwakabessy,56,75
Edgar Barreto,66,80
Björn van der Doelen,56,85
Tininho,66,80
Said Boutahar,62,80
Andrzej Niedzielan,72,85
Romano Denneboom,65,85
Albert van der Sleen,52,72
Frank Demouge,60,85
Peter Wisgerhof,64,80
Jarda Simr,59,75
Pascal Heije,59,75
Ralf de Haan,49,80
Alexander Prent,52,70
Thijs Hendriks,42,65
José Valencia,56,70
Raymon Van Emmerik,46,70
Roel Hendriks,41,80
Rutger Worm,42,70
