NAME,OVR,POT
Sean Johnson,72,73
Anton Tinnerholm,71,71
Maxime Chanot,72,72
James Sands,66,86
Alexander Callens,71,74
Ronald Matarrita,70,75
Alexander Ring,75,76
Maxi Moralez,76,76
Ismael Tajouri-Shradi,71,74
Héber,69,69
Alexandru Mitriță,75,79
Valentin Castellanos,63,80
Ben Sweat,67,67
Sebastien Ibeagha,65,68
Tony Rocha,63,66
Brad Stuver,64,64
Jesús Medina,66,76
Ebenezer OforiL,72,78
Eric Miller,65,68
Juan Torres,60,73
Luis Barraza,57,69
Gary Mackay-Steven,69,69
Justin Haak,50,73
Keaton ParksL,70,81
