NAME,OVR,POT
Martin Dúbravka,82,82
Jacob Murphy,72,73
Federico Fernández,75,75
Jamaal Lascelles,77,80
Paul Dummett,74,74
Matt Ritchie,74,74
Miguel Almirón,77,78
Isaac Hayden,76,79
Jonjo Shelvey,75,75
Allan Saint-Maximin,79,85
Joelinton,74,80
Dwight Gayle,73,73
Jeff Hendrick,74,74
Ciaran Clark,75,75
Emil Krafth,73,76
Karl Darlow,76,77
Callum Wilson,79,79
Joseph WillockL,74,82
Jamal Lewis,73,82
Sean Longstaff,72,81
Ryan Fraser,75,75
Fabian Schär,76,77
Andy Carroll,72,72
Manquillo,74,75
Christian Atsu,72,72
Mark Gillespie,70,72
Matthew Longstaff,71,84
Elliot Anderson,62,84
Rodrigo Vilca,66,76
Joe White,59,72
Yannick Touré,57,74
Jack Young,58,75
Henri Saivet,65,65
