NAME,OVR,POT
Joe Day,61,64
David Pipe,57,57
Mark O'Brien,61,63
Scot Bennett,57,61
Mickey Demetriou,62,63
Dan Butler,61,70
Mitchell Rose,60,67
Mark Randall,62,62
Sean Rigg,60,60
Ryan Bird,60,60
Alex SamuelL,56,67
Jennison Myrie-Williams,62,62
Tom Owen-Evans,53,69
Sid NelsonL,64,70
Jazzi Barnum-Bobb,58,69
James Bittner,54,54
Jaanai GordonL,53,61
Joss Labadie,63,64
Kieran Parselle,53,69
Jamie Turley,56,57
Lenell John-Lewis,61,61
Marlon Jackson,58,61
Darren Jones,63,63
Ben Tozer,58,59
Craig Reid,60,60
Paul Bignot,60,60
Tom Meechan,56,59
Aaron Williams,59,68
