NAME,OVR,POT
Robert Green,74,86
Thomas Helveg,79,88
Craig Fleming,73,80
Malky Mackay,74,87
Adam Drury,68,82
Philip Mulryne,69,86
Gary Holt,76,88
Damien Francis,72,82
Paul McVeigh,72,83
Darren Huckerby,76,89
Mathias Svensson,72,84
Paul Gallacher,72,85
Leon McKenzie,74,86
Gary Doherty,75,84
Ryan Jarvis,72,85
Marc Edworthy,71,83
Simon Charlton,71,79
Darren Ward,61,77
Mattias Jonson,68,84
Youssef Safri,72,85
Zema Abbey,67,79
Jim Brennan,70,87
Ian Henderson,73,88
Jason Shackell,71,86
David Bentley,70,84
