NAME,OVR,POT
Ryan SchofieldL,57,77
Matt Tootle,64,64
Sam StubbsL,58,75
Ben BarclayL,58,68
Robert Milsom,63,63
Michael Doyle,66,66
Mitchell Rose,61,66
Craig Mackail-SmithL,64,64
Enzio Boldewijn,65,66
Jim O'Brien,63,63
Jonathan Stead,62,62
Lewis Alessandra,63,63
David Vaughan,64,64
Elliott Hewitt,62,66
Pierce Bird,56,71
Ross Fitzsimons,58,64
Kane Hemmings,65,66
Virgil GomisL,56,71
Cedric Evina,65,65
Daniel Jones,63,63
Andy Kellett,64,65
Alex PalmerL,56,63
Will Patching,59,73
Richard Duffy,62,62
Christian Oxlade-Chamberlain,55,68
Elliott Ward,65,65
Noor Husin,60,71
Shaun Brisley,63,63
