NAME,OVR,POT
Paul BernardoniL,76,84
Sofiane Alakouch,73,83
Anthony Briançon,75,79
Loïck Landre,73,76
Faitout MaouassaL,73,80
Téji Savanier,78,79
Jordan FerriL,75,76
Antonin Bobichon,72,78
Sada Thioub,75,79
Renaud Ripart,72,73
Denis Bouanga,75,79
Théo Valls,70,75
Hervé Lybohy,70,70
Florian Miguel,67,76
Gaëtan Paquiez,66,70
Baptiste Valette,66,67
Rachid Alioui,73,74
Baptiste GuillaumeL,71,77
Martin Sourzac,63,64
Umut Bozok,73,79
Pierrick Valdivia,68,68
Féthi Harek,68,68
Panagiotis Vlachodimos,67,67
Abdel Malik Hsissane,62,62
Sami Ben Amar,57,69
Théo Sainte-Luce,58,68
Clément Depres,67,72
