NAME,OVR,POT
David Ospina,77,78
François Clerc,74,75
Renato Civelli,72,73
Nemanja Pejčinović,75,76
Luciano Fabián Monzón,72,76
Kévin Anin,75,80
Julien Sablé,70,70
Didier Digard,71,75
Franck Dja Djédjé,65,72
Éric Mouloungui,73,74
Anthony Mounier,78,84
Raúl Fernández,73,76
Kevin Gomis,64,69
Kafoumba Coulibaly,73,75
Camel Meriem,73,73
Xavier Pentecôte,72,77
Fabrice Abriel,71,71
Elliot GrandinL,68,75
David Hellebuyck,70,70
Drissa Diakite,73,76
Esmaël Gonçalves,65,76
Abraham Gnieki Guie Guie,70,75
Lloyd Palun,57,68
Lucas Veronese,64,75
Cyril Hennion,59,74
Kévin Malaga,59,69
Serge Nyuiadzi,57,68
Stéphane Bahoken,55,60
Alexy Bosetti,55,72
Diacko Fofana,57,64
Papa Moussa Mbow,54,65
