NAME,OVR,POT
Roberto,79,79
Omar Elabdellaoui,69,76
Botía,73,75
Dimitris Siovas,75,77
Fuka Arthur Masuaku,71,81
Luka Milivojević,70,76
Pajtim Kasami,73,81
Mathieu Dossevi,74,79
Ibrahim Afellay,77,77
Alejandro Domínguez,76,76
Konstantinos Mitroglou,78,81
Giannis Maniatis,74,75
Jimmy Durmaz,70,73
Konstantinos Fortounis,70,77
Felipe Santana,74,74
Balázs Megyeri,70,75
Jorge Benítez,70,75
Kostas Giannoulis,68,72
Anastasios Avlonitis,69,74
Leandro Salino,73,73
Delvin N'Dinga,72,75
David Fuster,71,71
Franco Jara,70,73
Dimitris Diamantakos,69,74
Abdisalam Ibrahim,69,74
Andreas Bouchalakis,66,75
Nikos Vergos,65,74
Praxitelis Vouros,58,70
