NAME,OVR,POT
Hugo Lloris,86,91
Anthony Réveillère,79,79
Bakary Koné,77,80
Dejan Lovren,79,85
Aly Cissokho,76,80
Maxime Gonalons,78,82
Kim Källström,79,81
Jimmy Briand,78,83
Michel Bastos,84,85
Bafétimbi Gomis,81,85
Lisandro López,83,83
Matthieu Valverde,71,72
Alexandre Lacazette,73,84
Clément Grenier,73,84
Gueïda Fofana,70,82
Mouhamadou Dabo,71,76
Ederson,76,80
Cris,73,73
Yoann Gourcuff,79,85
Jérémy Pied,73,80
Samuel Umtiti,67,80
Rémy Vercoutre,74,75
John Mensah,75,78
Thimothée Kolodziejczak,67,76
Sidy Koné,64,77
Yanis Tafer,69,78
Anthony Lopes,66,77
Sébastien Faure,63,76
Thomas Fontaine,63,75
Jordan Ferri,61,75
Nicolas Seguin,59,64
Yassine Benzia,63,80
Alassane Pléa,63,77
