NAME,OVR,POT
Moeneeb Josephs,64,74
Happy Jele,63,72
Rooi Mahamutsa,52,61
Lucky Lekgwathi,57,65
Ruben Cloete,64,66
Tlou Segolela,60,68
Isaac Chansa,64,68
Andile Jali,63,75
Daine Klate,66,68
Thulasizwe Mbuyane,65,76
Ndumiso Mabena,59,64
Senzo Meyiwa,54,65
Clifford Ngobeni,65,72
Teko Modise,75,83
Mark Mayambela,67,78
Robyn Johannes,61,68
Oupa Manyisa,51,60
Ezenwa Otorogu,64,67
Dikgang Mabalane,63,68
Lucas Thwala,63,68
Benson Mhlongo,60,68
Patrick Malokase,62,69
Thando Mdluli,62,63
Zvenyika Makonese,58,59
Robert Modiadie,55,63
Katlego Mashego,64,70
Gert Schalkwyk,60,61
Chiukepo Msowoya,64,72
Dennis Masina,61,64
Joseph Makhanya,60,64
