NAME,OVR,POT
Simon Eastwood,67,68
Sam Long,59,66
Curtis Nelson,65,69
Rob Dickie,64,72
Luke Garbutt,66,68
Ahmed KashiL,68,68
Cameron Brannagan,67,76
Marcus BrowneL,65,80
Jordan GrahamL,66,71
James Henry,68,68
Jerome SinclairL,62,73
John Mousinho,67,67
Gavin Whyte,65,72
Mark Sykes,62,71
Josh Ruffels,64,69
Scott Shearer,59,59
Jamie Mackie,66,66
Jamie Hanson,65,73
Samir CarruthersL,66,69
Armani Little,58,69
Malachi Napa,57,74
Jonte Smith,57,61
Rob Hall,67,70
Jonathan Obika,65,65
Shandon Baptiste,57,70
Jack Stevens,52,58
Aaron Heap,51,71
Slavi Spasov,49,74
