NAME,OVR,POT
Grzegorz Żmija,57,66
Arkadiusz Sojka,44,53
Grzegorz Jurczyk,54,56
Tomasz Sosna,55,56
Ireneusz Marcinkowski,55,57
Rafał Jabłoński,58,64
Rafał Grzyb,56,64
Tomasz Owczarek,62,62
Janusz Wolański,59,67
Grzegorz Podstawek,62,76
Mariusz Mężyk,67,66
Adrian Klepczyński,56,71
Artur Rozmus,64,66
Jarosław Kupis,55,58
Marcin Suchański,48,50
Michał Zieliński,64,65
Piotr Plewnia,58,66
Marcin Radzewicz,59,60
Jakub Wierzchowski,63,64
Jacek Trzeciak,55,56
Jakub Dziółka,61,66
Wojciech Mróz,56,60
Karol Drej,52,66
