NAME,OVR,POT
Heurelho Gomes,74,83
Kasper Bøgelund,69,85
Alex,79,90
Wilfred Bouma,79,94
Young-Pyo Lee,79,87
Mark van Bommel,78,90
Philip Cocu,79,84
John de Jong,79,90
J. S. Park,77,94
Jan Vennegoor of H.,70,88
DaMarcus Beasley,78,90
Johann Vogel,75,88
Edwin Zoetebier,60,75
Theo Lucius,59,77
Johan Vonlanthen,76,85
André Ooijer,76,84
Michael Lamey,65,80
Gerald Sibon,65,79
Leandro,58,80
Jasar Takak,59,75
Csaba Fehér,71,76
Nathan Coe,61,74
Jefferson Farfán,48,86
Ibrahim Afellay,62,80
Otman Bakkal,51,70
